x,R0,x,R100,x,R400
0.00807,0.02132,0.01524,0.02283,0.02393,0.01839
0.02082,0.04261,0.02909,0.04493,0.04787,0.03707
0.03602,0.06487,0.03877,0.06631,0.07095,0.05595
0.04998,0.08636,0.04957,0.08806,0.09165,0.07565
0.06211,0.10777,0.06615,0.10829,0.10851,0.09718
0.07211,0.12944,0.08103,0.12912,0.12443,0.11755
0.07993,0.15071,0.09055,0.15123,0.1462,0.13666
0.08731,0.17287,0.10029,0.17444,0.17184,0.15584
0.09527,0.19518,0.11208,0.19499,0.19555,0.1748
0.10526,0.21777,0.12639,0.21684,0.21606,0.19521
0.11544,0.23913,0.13707,0.23912,0.23352,0.21483
0.12431,0.26088,0.14476,0.26,0.25255,0.23615
0.1332,0.28407,0.15593,0.28186,0.2697,0.25561
0.14181,0.30535,0.16595,0.30373,0.28409,0.27806
0.15012,0.32727,0.17333,0.32568,0.28662,0.30077
0.15801,0.34951,0.18104,0.3485,0.28144,0.32333
0.16669,0.37199,0.18964,0.37058,0.273,0.34444
0.17652,0.39414,0.19948,0.39163,0.25851,0.36514
0.18473,0.41518,0.20904,0.41442,0.24036,0.38603
0.19225,0.43756,0.21171,0.43696,0.22287,0.40627
0.19976,0.46047,0.21168,0.45985,0.20249,0.42712
0.20576,0.48251,0.21164,0.48187,0.1795,0.44675
0.20662,0.50516,0.20559,0.50397,0.15861,0.46529
0.20581,0.52686,0.19646,0.52543,0.14173,0.48664
0.205,0.55059,0.18775,0.54801,0.12159,0.50624
0.20286,0.57187,0.17579,0.57021,0.09779,0.5254
0.1963,0.59424,0.15875,0.59005,0.07606,0.54481
0.18815,0.61726,0.14095,0.61112,0.05458,0.56544
0.17979,0.63848,0.12705,0.63286,0.03045,0.58458
0.16382,0.66058,0.11005,0.65314,0.00452,0.6017
0.14154,0.67992,0.08314,0.6715,-0.01937,0.62141
0.11585,0.6979,0.06042,0.69048,-0.03456,0.64301
0.08813,0.71543,0.0356,0.7091,-0.05324,0.66296
0.06051,0.73361,0.00946,0.72682,-0.07542,0.68266
0.03625,0.75142,-0.01294,0.747,-0.09687,0.70185
0.00642,0.76864,-0.03923,0.76518,-0.1182,0.72129
-0.02805,0.78141,-0.06943,0.78116,-0.1414,0.7404
-0.0669,0.79351,-0.09969,0.79824,-0.16057,0.7608
-0.10457,0.80415,-0.13151,0.81366,-0.17862,0.78126
-0.13924,0.81756,-0.16647,0.82782,-0.20268,0.80035
-0.17414,0.83263,-0.20063,0.84144,-0.22126,0.82145
-0.21185,0.84457,-0.23358,0.85529,-0.237,0.8418
-0.24894,0.85537,-0.26966,0.86865,-0.2579,0.86174
-0.28929,0.86433,-0.30711,0.88029,-0.2779,0.88129
-0.33044,0.87298,-0.34627,0.89095,-0.30031,0.90082
-0.3682,0.88541,-0.38736,0.90101,-0.32808,0.91846
-0.40947,0.89335,-0.42425,0.9115,-0.36277,0.93253
-0.45142,0.89922,-0.46462,0.92178,-0.40291,0.94085
-0.49043,0.90862,-0.50709,0.92848,-0.44518,0.9484
-0.52975,0.91986,-0.54749,0.93671,-0.48621,0.95581
-0.5709,0.92787,-0.58807,0.94478,-0.52979,0.96274
-0.61315,0.93359,-0.63079,0.95284,-0.57403,0.96778
-0.65184,0.94378,-0.67276,0.96006,-0.61635,0.97267
-0.69393,0.95254,-0.71459,0.9664,-0.65708,0.9787
-0.73481,0.95781,-0.75652,0.97346,-0.69971,0.98468
-0.77557,0.96776,-0.79794,0.97897,-0.74234,0.98997
-0.81642,0.97708,-0.84084,0.98428,-0.78691,0.99497
-0.85676,0.98455,-0.88442,0.99048,-0.83079,0.99772
-0.89918,0.99184,-0.92772,0.9971,-0.875,0.99923
-0.94169,0.99819,-0.96937,1.00164,-0.91755,1.00125
-0.98475,1.00177,-0.99565,1.00339,-0.96248,1.00274
-0.99342,1.00227,,,-0.99342,1.00227
