x100,Re=100,x400,Re=400,x1000,Re=1000
-0.0162,0.02006,-0.02218,0.01105,-0.02542,0.00341
-0.03003,0.03841,-0.04651,0.02403,-0.05299,0.00983
-0.04173,0.05739,-0.0675,0.038,-0.07653,0.01676
-0.0536,0.07756,-0.0864,0.05149,-0.10335,0.02316
-0.0654,0.09745,-0.10676,0.06582,-0.12952,0.03044
-0.0752,0.1147,-0.12637,0.08236,-0.15521,0.03872
-0.08539,0.13419,-0.14447,0.09947,-0.17868,0.0472
-0.0956,0.15398,-0.1637,0.11512,-0.20337,0.05815
-0.10719,0.17504,-0.17968,0.13293,-0.22563,0.07068
-0.11755,0.19527,-0.1932,0.15023,-0.24535,0.08602
-0.12606,0.21546,-0.20838,0.16911,-0.25751,0.10441
-0.1359,0.23527,-0.21868,0.18846,-0.2666,0.12493
-0.14656,0.25608,-0.22629,0.20934,-0.25855,0.14592
-0.15529,0.2777,-0.23183,0.23178,-0.24413,0.16553
-0.16451,0.29691,-0.233,0.25284,-0.2276,0.18272
-0.17465,0.31751,-0.22475,0.27352,-0.20867,0.19728
-0.1825,0.3384,-0.21646,0.29532,-0.18972,0.21253
-0.19223,0.35896,-0.2061,0.31475,-0.17186,0.2286
-0.19765,0.38016,-0.19201,0.33376,-0.15093,0.24278
-0.20185,0.40217,-0.17838,0.35241,-0.13105,0.25775
-0.20791,0.42368,-0.16235,0.37129,-0.11306,0.27408
-0.2112,0.44559,-0.14654,0.38867,-0.09532,0.29098
-0.21194,0.46628,-0.13005,0.40592,-0.0775,0.30891
-0.21156,0.48897,-0.11233,0.42211,-0.06379,0.32658
-0.20894,0.51036,-0.09658,0.44026,-0.05002,0.34585
-0.20421,0.53283,-0.08273,0.45921,-0.03678,0.36565
-0.19787,0.5534,-0.06825,0.47732,-0.02697,0.38552
-0.18898,0.57349,-0.05334,0.4962,-0.01885,0.40568
-0.17747,0.59411,-0.03799,0.515,-0.01012,0.4266
-0.16659,0.6132,-0.02319,0.53351,-0.00117,0.44819
-0.15201,0.63308,-0.01094,0.55267,0.0056,0.46991
-0.13682,0.65056,-0.00102,0.572,0.01123,0.49117
-0.12243,0.66814,0.00996,0.59233,0.01712,0.51176
-0.10689,0.68648,0.02127,0.61165,0.02382,0.53421
-0.08827,0.70376,0.03272,0.63128,0.02882,0.55621
-0.07005,0.71849,0.04233,0.6528,0.03237,0.57715
-0.05114,0.73418,0.04976,0.67257,0.03605,0.59716
-0.0318,0.75024,0.05869,0.69369,0.04283,0.62005
-0.0114,0.76452,0.06828,0.71418,0.0493,0.64024
0.00994,0.77821,0.07838,0.73554,0.05344,0.66298
0.03155,0.79033,0.08786,0.7551,0.0576,0.68283
0.05396,0.80275,0.09732,0.7758,0.06514,0.70431
0.07706,0.81452,0.10544,0.79594,0.07215,0.72518
0.10182,0.82437,0.11406,0.81749,0.07808,0.74655
0.12715,0.83319,0.12719,0.8367,0.08419,0.7675
0.15121,0.84346,0.14376,0.85409,0.09193,0.78882
0.17632,0.85197,0.15976,0.87042,0.10035,0.81032
0.20071,0.85985,0.17952,0.8864,0.10832,0.83086
0.22653,0.86848,0.20129,0.89885,0.1163,0.85128
0.25222,0.87472,0.22713,0.90869,0.12626,0.87137
0.27787,0.88135,0.25146,0.91583,0.14031,0.89143
0.30364,0.8883,0.27821,0.92188,0.15443,0.90906
0.3307,0.89399,0.30343,0.92777,0.17673,0.92073
0.35746,0.90033,0.32913,0.93458,0.20082,0.93129
0.38271,0.90535,0.35716,0.93581,0.22606,0.93843
0.41069,0.91016,0.38336,0.94178,0.25324,0.94262
0.43655,0.91528,0.41003,0.94548,0.2813,0.94647
0.46315,0.9211,0.43693,0.9482,0.3081,0.95097
0.48923,0.92619,0.46389,0.95242,0.33358,0.95645
0.51725,0.93062,0.48997,0.95607,0.36218,0.95987
0.54293,0.93409,0.51726,0.95905,0.38803,0.96129
0.57055,0.93833,0.5443,0.96319,0.41453,0.96451
0.59606,0.94378,0.57118,0.96596,0.44184,0.96807
0.62309,0.94852,0.59854,0.9672,0.4687,0.96774
0.64996,0.95152,0.62677,0.96902,0.49564,0.96957
0.67675,0.95558,0.65211,0.97148,0.52185,0.97273
0.70319,0.96028,0.68038,0.9742,0.54937,0.97509
0.72982,0.96426,0.70581,0.9779,0.57652,0.97662
0.75618,0.96797,0.73323,0.98149,0.60441,0.97866
0.7826,0.97186,0.76103,0.98299,0.63034,0.98033
0.8107,0.97579,0.78864,0.98484,0.65763,0.98125
0.83705,0.97926,0.81539,0.98635,0.68625,0.98319
0.86497,0.98296,0.84286,0.98854,0.7122,0.98555
0.89165,0.98708,0.86943,0.99122,0.73865,0.98773
0.91755,0.99176,0.89554,0.99288,0.76637,0.98885
0.94285,0.99566,0.92289,0.9958,0.79407,0.99039
0.97005,0.99832,0.95106,0.9998,0.82088,0.99163
0.99726,0.9994,0.97664,1.00099,0.84788,0.99342
0.9988,0.99943,0.9988,1.00052,0.87597,0.99342
,,,,0.9031,0.99444
,,,,0.92951,0.99619
,,,,0.95656,0.99818
,,,,0.98393,1.00174
,,,,1.00084,0.99997
