x,Ku
-0.015,0.02163
-0.02866,0.03942
-0.04274,0.05888
-0.05508,0.0771
-0.06739,0.09642
-0.07992,0.11745
-0.09053,0.13699
-0.09991,0.15757
-0.10825,0.17851
-0.11684,0.19777
-0.12723,0.21823
-0.13893,0.23977
-0.15017,0.26009
-0.15999,0.27789
-0.17165,0.2996
-0.18105,0.31847
-0.189,0.33948
-0.19169,0.36071
-0.195,0.38305
-0.19992,0.40418
-0.20493,0.42562
-0.2093,0.44758
-0.21188,0.46855
-0.21143,0.49084
-0.20719,0.51213
-0.19976,0.53346
-0.19166,0.55348
-0.1824,0.57544
-0.17322,0.59504
-0.16184,0.61513
-0.14785,0.63398
-0.13189,0.65177
-0.11587,0.66905
-0.09953,0.6861
-0.08133,0.7032
-0.06218,0.71876
-0.04131,0.73396
-0.02071,0.74802
0.00064,0.76209
0.02095,0.77502
0.04324,0.78857
0.06584,0.8015
0.08724,0.81291
0.11103,0.82467
0.13409,0.83519
0.15964,0.84592
0.18286,0.85477
0.20897,0.86331
0.23385,0.86951
0.26039,0.87533
0.28605,0.88234
0.31306,0.88951
0.33948,0.8945
0.36557,0.89768
0.39279,0.90084
0.41879,0.90551
0.4454,0.91227
0.47152,0.91859
0.49716,0.92368
0.52352,0.92822
0.55113,0.93254
0.57865,0.93655
0.60483,0.94017
0.63135,0.94382
0.65755,0.94769
0.68434,0.95246
0.7108,0.95832
0.73689,0.96381
0.76389,0.9673
0.79092,0.96955
0.81726,0.97243
0.84438,0.97712
0.87142,0.98262
0.89689,0.98767
0.92462,0.99258
0.95176,0.99699
0.97743,1.00096
0.9983,1.00412
