y,u_centreline
1,1
1,-3e+90
1,-3e+90
1,-4e+90
1,-4e+90
1,-4e+90
0.9,-4e+90
0.9,-5e+90
0.9,-5e+90
0.9,-5e+90
0.9,-5e+90
0.9,-5e+90
0.9,-5e+90
0.9,-5e+90
0.9,-5e+90
0.9,-5e+90
0.9,-5e+90
0.9,-5e+90
0.8,-4e+90
0.8,-4e+90
0.8,-4e+90
0.8,-4e+90
0.8,-4e+90
0.8,-3e+90
0.8,-3e+90
0.8,-3e+90
0.8,-3e+90
0.8,-3e+90
0.8,-2e+90
0.8,-2e+90
0.8,-2e+90
0.7,-2e+90
0.7,-2e+90
0.7,-2e+90
0.7,-1e+90
0.7,-1e+90
0.7,-1e+90
0.7,-9e+89
0.7,-8e+89
0.7,-7e+89
0.7,-6e+89
0.7,-5e+89
0.7,-4e+89
0.6,-4e+89
0.6,-3e+89
0.6,-3e+89
0.6,-2e+89
0.6,-2e+89
0.6,-1e+89
0.6,-1e+89
0.6,-9e+88
0.6,-7e+88
0.6,-5e+88
0.6,-4e+88
0.6,-2e+88
0.5,-2e+88
0.5,-7e+87
0.5,-3e+87
0.5,3e+87
0.5,5e+87
0.5,9e+87
0.5,9e+87
0.5,1e+88
0.5,1e+88
0.5,1e+88
0.5,1e+88
0.4,1e+88
0.4,1e+88
0.4,9e+87
0.4,8e+87
0.4,8e+87
0.4,7e+87
0.4,6e+87
0.4,5e+87
0.4,5e+87
0.4,4e+87
0.4,4e+87
0.4,3e+87
0.3,3e+87
0.3,2e+87
0.3,2e+87
0.3,2e+87
0.3,2e+87
0.3,1e+87
0.3,1e+87
0.3,9e+86
0.3,8e+86
0.3,6e+86
0.3,5e+86
0.3,4e+86
0.2,4e+86
0.2,3e+86
0.2,2e+86
0.2,2e+86
0.2,2e+86
0.2,1e+86
0.2,1e+86
0.2,8e+85
0.2,6e+85
0.2,5e+85
0.2,4e+85
0.2,3e+85
0.2,3e+85
0.1,2e+85
0.1,2e+85
0.1,1e+85
0.1,1e+85
0.1,7e+84
0.1,6e+84
0.09,4e+84
0.08,4e+84
0.08,3e+84
0.07,2e+84
0.06,2e+84
0.05,1e+84
0.04,1e+84
0.03,9e+83
0.03,8e+83
0.02,7e+83
0.008,7e+83
0,0
